hour,day_of_week,distance,weather_impact,traffic_density,restaurant_busy,prep_time_base,order_complexity,delivery_time
10,4,3.95941186430238,2.474555381855689,6.753530325516748,1.0884934773345596,14.460319536473161,2.2146765844075045,31.783381052634326
19,6,9.633075774009592,3.0592554482823084,9.548933528003513,9.613211296188961,9.039854053703964,1.6100160471128606,55.983743493696615
13,0,0.9775790112972257,1.2821684266816673,12.203070447831582,5.829141869487059,20.627605557578605,1.2648470311723643,28.267873735076545
16,1,5.952812425765459,7.88500135737272,5.0995579698985845,1.2523428905372032,19.58533979075809,2.6014409025308116,47.00530206686501
19,4,7.291236859405269,4.252032727978527,11.937385002971993,7.810116644710618,9.744079692111939,3.15654635233102,48.3508514233738
13,4,9.158157627611452,3.825255826106808,7.616694700507498,4.8338671591323,16.2303455205004,2.010819133066895,55.10474756498368
15,1,8.993132252652844,6.532530780865112,5.627653315627082,8.831889996325266,16.879977995119525,4.443129038219275,57.05149935037812
10,6,2.37466198829068,2.0266955707627954,2.01829008765956,1.6219252396346628,21.650034080251423,4.952046597873753,36.842551287806515
11,0,9.533857955555114,2.4970217567402146,5.166671194260005,4.772449421266225,19.411416436577003,4.642954138386198,56.385637016799905
20,3,5.019757022960173,3.496562244554136,4.773542802589001,8.699401551502575,17.506194185980384,2.6069149828506446,40.36041824705479
9,6,7.020465045076131,6.207415398928218,2.3718529803754826,3.8596419945157425,8.564038100775436,1.7430827075178632,42.8684624624328
20,1,6.205882052944605,1.1487044621996736,9.982346527561063,5.771620441436691,23.80498790260815,3.653471650638017,53.08926833672918
8,4,5.028421082197105,6.043155173422606,3.9232605517841153,2.8540396613119565,8.016862127211233,2.241781160759551,30.358712360646965
15,4,1.6731214903593803,6.926579931027654,6.225106785616802,1.3590317714649176,9.361568659142915,2.263122537461864,22.18721112145352
23,0,3.715594551161992,4.322275791571169,7.079948883400285,4.225830149858191,11.234343377349077,3.0530569461112727,30.72136083057422
15,6,7.561516271133903,3.0549082572952457,3.529557098541072,4.888567691965484,23.394145084204734,1.8350593458290851,57.10070882524583
8,1,6.284137495071782,5.159089931012471,6.68697608637092,4.8441951403840715,8.798017749784533,4.6575377659946575,38.72094243033829
18,2,8.285858557655192,7.061176010378567,9.496938218692712,2.3893736326722155,9.593889894208386,4.7478648737823,50.851764644973684
9,3,6.374597675529964,5.392682368237212,5.419646635090097,7.8265983454726875,9.327255454796912,1.0306064755364095,37.62338830595748
13,4,7.568295657192112,5.747871535727906,13.242508459177621,8.337090689908996,18.743491663915993,3.035424867377121,61.31485056542842
9,5,12.65663554156409,5.055727951846528,9.759082949826492,9.9985404531018,17.090914111674202,2.1193275550462216,77.95044582669574
20,6,3.5326582397579673,4.649944004985005,9.97051896686759,5.620792945068683,17.594373598224195,2.3053169520284302,44.502714969044156
23,2,9.959468114237374,2.6597087757353135,8.70439973004822,6.735042890753813,17.241830738467648,3.158590180626936,60.87175473693769
13,0,4.044763524156184,6.359245777382196,5.247781308475823,7.148148442915513,12.755095465184386,2.3674711482612616,34.46648616737663
9,1,2.3676840547204394,7.139641332917064,6.952651205515467,8.28475419144823,23.143307842868733,4.385386804773539,41.92160291542449
9,4,3.3051317111795173,1.1468581258133597,7.553134521466123,5.339317203845461,16.710996017416914,4.036787918390575,33.256116580220684
11,0,0.623936038560964,1.5165058330761356,5.832324526510759,9.720165769056793,11.445456653579134,1.5005881217782808,18.43069482714959
15,2,1.529210724642976,4.807892337599227,6.615459008458304,7.448588205472534,15.993120747462651,3.586343508770404,29.207674274802
10,6,8.196541258291155,7.101578619200902,6.561663600621138,9.520760875452021,12.996512605790059,3.5895658950610034,55.296017207962905
22,0,14.183368799797085,2.9582662465561222,6.5433568832557825,9.367375622588069,24.291486970003213,2.245585652110266,79.97055405915852
9,0,13.50431329094254,0.06613251730770386,2.886895844125009,8.511520037009827,12.888486424231596,3.217396405112258,56.7121617667008
8,4,4.542223397298307,2.8654615470308222,9.73312341155559,7.406407281384679,17.2405771741328,1.7602697226208246,40.622065084043
20,5,1.8637989019935461,0.18784346739244295,4.954648085291632,2.159302251507857,17.496831193031646,1.3858225589385134,28.756916222193027
18,1,2.526713365209959,6.14161892533529,5.749056959829108,8.425362721696885,15.98871648749185,1.5309975671806915,32.690835499547426
12,3,1.072685815463337,3.100874361842706,7.654931039389605,9.408704879024713,14.259618307495279,3.108498548874419,25.030593465417894
15,4,5.369844546772701,2.322343572705834,4.935744504846938,6.55933901890976,23.04092852772898,2.1482745923916746,45.34098086173651
13,6,13.322447255590953,2.5800062116485822,9.985665173730862,8.923415157799319,14.94878275341678,1.1045348369802919,77.19116447180174
22,5,5.209626759860062,5.3860977000900006,3.57601436808853,6.137246791247151,11.990926879514554,4.630054110929344,43.6010023046409
13,5,10.916774196817482,4.094907107189569,9.54540656863897,1.9234944162548397,15.065388563543802,1.412054439842965,67.37104537002944
10,0,7.130092489523552,5.7459767354466,8.409353499379478,8.652809131419822,10.186348402152234,4.158124599580152,46.277186287685545
17,0,1.2800184972221174,1.9488469852050363,4.396868136419991,4.462034491433039,22.889942059104463,2.353659883873732,31.00871706136018
14,5,4.787088331445127,0.24157322864698383,5.85229136860993,7.070128046944751,11.851813132893156,1.0153009005843852,34.06477166512754
22,0,14.749174671623091,4.564087470406512,4.7858782375743125,9.466456734146142,16.877907585283296,2.1375372164485746,71.89898298159984
18,3,3.340827679501065,7.624556996289751,11.548848316570957,3.675173655141694,17.85011112732336,3.6272097982833342,41.005389737145926
17,4,8.229380697133745,4.165388360146295,7.506601582644519,5.0507040704921815,11.180728454262074,3.2848970211709982,47.51035294173988
12,1,5.332037672929325,6.270675507702234,10.950964580363163,8.634285006269764,18.817820771681625,1.4959852100847448,49.26137682170169
14,4,3.57213311661658,1.5448092863176752,8.2688303029974,1.9051819748888312,20.58516695128671,4.683894176648236,38.095453236826025
10,3,2.7437795341536857,1.0201468051066662,7.96248091895036,7.995813276240017,23.24959468476365,4.081256726504431,38.641627138333206
9,5,1.4965770288892524,2.0658655174882723,9.49581010758827,6.956306494048526,11.8311734965635,3.5540750929860607,25.30428016936341
13,6,11.787132707697387,5.95951913321597,8.316801657036368,8.970582031035057,12.83047538817427,2.245849743633921,70.81838252380261
20,4,5.324788613811142,3.5561959249627177,6.208782531797544,3.520060881404504,16.713056151030134,2.3851242488393836,40.077632994010976
20,4,9.418337442944793,0.004446658246491708,5.533835678152142,2.5241422769426265,21.21068120956926,1.7514866903140156,54.210997937364844
17,1,3.786645668810489,3.3910265858895148,5.549880489226142,5.461129102788324,18.713948240325994,2.930722682981816,37.14939839093283
17,5,13.53357776784432,5.929277985980502,4.790111516427573,9.503157064045554,19.201270540361598,3.0240024774596836,79.11092387508799
18,1,7.224700453166461,2.7650485999645076,7.265111205970442,5.332564059855291,18.972099904673307,4.13355682817662,50.78567538291787
9,1,5.279689068979285,4.580369651238727,6.561448407397735,1.4284185786800911,14.472650360527982,2.1725621169306244,38.04733650101792
9,4,11.048860803933028,0.671770369402843,3.89596200326197,7.982732522094685,15.027806128303165,1.2437819717506362,52.66097645687977
10,3,7.93131207345918,6.057904685989906,6.68248027438604,2.4689241606358108,18.537358603234267,1.0219748057543128,52.41375265887566
12,5,13.339552032495101,4.427555070544805,5.722675264866431,5.98119632535145,23.90965177782282,3.1601747294901736,78.13751590887769
21,1,4.299467424455392,5.859411405610781,3.5472342765670994,8.264983048707908,19.555875733519592,2.1644679644252487,40.84148504882347
22,1,13.965996294578849,3.4963945271969,9.784442215880926,9.829610525201717,24.027781804518188,1.0892244454053488,85.73080610271309
16,6,5.020597473457646,5.051198289728985,3.9845836265595747,8.531606818392497,10.142449511480502,4.244531542283988,39.169938028405745
12,0,9.274378570312932,7.423184058302967,6.505355503627214,2.3832187954996367,18.218844770061335,1.2380804185270073,57.72731374166556
12,6,11.17803835758003,6.47708664027918,9.292292540915977,4.814397364299467,15.689376497706355,2.331350444282082,69.67289905186188
21,1,11.393733702550529,1.8727332278036481,9.73106451528147,5.353910940359542,14.36234080171472,3.2860100925639277,64.2250136281422
12,6,0.6615678927542556,0.71634160719971,11.262857425291276,9.898384413256107,12.654298455546641,1.103004289047862,22.08406479288577
15,2,2.98200812853828,5.484451747355464,4.324701872855117,6.657457013876968,21.516195869767984,1.1755499405314715,37.87823408418068
23,6,0.9992777261711512,7.098477795250318,4.449002750931129,6.264112044405388,14.948658582701032,4.582386212826078,33.409710364459684
10,2,4.051710192405836,3.1873437015711596,8.732997384927316,2.865910946166424,15.143024839767818,2.1978265330780657,35.08839800964282
15,3,6.507950597796075,7.764437277612057,6.249959596034672,3.3641798048336176,18.086684996195693,4.950051206060654,50.1535551006382
13,1,5.346173312397359,2.348890357698192,9.653825483341329,7.854601947938744,12.089820978295013,1.355545590947461,38.11017354953946
9,4,7.828537169549267,5.024659526366776,2.802834573486324,6.323359504935209,8.66607296938923,2.0869182504513413,38.48892468685737
14,4,7.137466381645679,0.11647954883109435,9.749984347853875,9.005279159177965,14.153685999056382,4.61298753758123,47.53714093443625
14,0,3.4853598915277106,0.5757096511379709,2.5021082356516606,4.2608187849529635,16.59409086910371,3.752785309696998,30.230808762487968
